Rainfall,Year,Month
87.3465,1937,Jun
122.005,1937,Jul
139.618,1937,Aug
83.8784,1937,Sep
60.8079,1937,Oct
60.1051,1937,Nov
4.44503,1937,Dec
10.9987,1938,Jan
5.89262,1938,Feb
25.3662,1938,Mar
55.0035,1938,Apr
73.1074,1938,May
87.42,1938,Jun
168.947,1938,Jul
163.054,1938,Aug
104.119,1938,Sep
66.9934,1938,Oct
12.8129,1938,Nov
6.42947,1938,Dec
4.12883,1939,Jan
16.5638,1939,Feb
35.3514,1939,Mar
84.1755,1939,Apr
110.35,1939,May
63.3459,1939,Jun
111.281,1939,Jul
119.77,1939,Aug
84.9752,1939,Sep
89.1932,1939,Oct
21.4834,1939,Nov
6.69403,1939,Dec
14.8731,1940,Jan
38.1002,1940,Feb
74.3706,1940,Mar
87.0471,1940,Apr
60.0284,1940,May
65.8808,1940,Jun
129.359,1940,Jul
141.991,1940,Aug
63.7847,1940,Sep
35.9705,1940,Oct
32.1822,1940,Nov
7.29704,1940,Dec
2.7344,1941,Jan
22.2775,1941,Feb
49.3049,1941,Mar
83.7632,1941,Apr
103.846,1941,May
71.7588,1941,Jun
106.591,1941,Jul
112.887,1941,Aug
82.2631,1941,Sep
105.395,1941,Oct
42.4482,1941,Nov
7.90109,1941,Dec
5.21327,1942,Jan
21.8552,1942,Feb
53.368,1942,Mar
89.5327,1942,Apr
132.574,1942,May
52.723,1942,Jun
121.732,1942,Jul
114.527,1942,Aug
88.5216,1942,Sep
32.8918,1942,Oct
18.4278,1942,Nov
3.75349,1942,Dec
12.6104,1943,Jan
12.5599,1943,Feb
15.7773,1943,Mar
29.346,1943,Apr
95.1492,1943,May
78.8494,1943,Jun
120.363,1943,Jul
142.792,1943,Aug
102.829,1943,Sep
35.5893,1943,Oct
9.40123,1943,Nov
12.9648,1943,Dec
18.7568,1944,Jan
5.45953,1944,Feb
27.0095,1944,Mar
98.3988,1944,Apr
82.305,1944,May
61.0923,1944,Jun
151.924,1944,Jul
138.419,1944,Aug
94.5807,1944,Sep
54.3261,1944,Oct
33.4622,1944,Nov
18.588,1944,Dec
4.84516,1945,Jan
2.34681,1945,Feb
10.3369,1945,Mar
12.6619,1945,Apr
137.704,1945,May
70.5644,1945,Jun
129.054,1945,Jul
147.898,1945,Aug
110.988,1945,Sep
49.1749,1945,Oct
68.6532,1945,Nov
4.56128,1945,Dec
1.36821,1946,Jan
0.59308,1946,Feb
28.8477,1946,Mar
94.1815,1946,Apr
98.5719,1946,May
109.775,1946,Jun
136.356,1946,Jul
197.295,1946,Aug
131.838,1946,Sep
58.327,1946,Oct
24.4689,1946,Nov
1.52752,1946,Dec
6.0243,1947,Jan
29.5564,1947,Feb
72.2658,1947,Mar
91.1423,1947,Apr
89.708,1947,May
64.7809,1947,Jun
124.799,1947,Jul
175.047,1947,Aug
121.225,1947,Sep
42.9884,1947,Oct
26.6797,1947,Nov
8.60926,1947,Dec
7.27788,1948,Jan
21.0904,1948,Feb
31.6215,1948,Mar
60.5064,1948,Apr
70.0153,1948,May
98.5541,1948,Jun
131.947,1948,Jul
106.002,1948,Aug
115.504,1948,Sep
88.3316,1948,Oct
22.1093,1948,Nov
9.35293,1948,Dec
8.25945,1949,Jan
11.9416,1949,Feb
29.3254,1949,Mar
44.1133,1949,Apr
122.488,1949,May
71.5583,1949,Jun
149.504,1949,Jul
130.014,1949,Aug
103.448,1949,Sep
50.3564,1949,Oct
40.8791,1949,Nov
17.2196,1949,Dec
5.99337,1950,Jan
9.46849,1950,Feb
32.9385,1950,Mar
75.8702,1950,Apr
89.7768,1950,May
58.5192,1950,Jun
147.996,1950,Jul
361.659,1950,Aug
91.9025,1950,Sep
24.8251,1950,Oct
6.93604,1950,Nov
4.54667,1950,Dec
2.28189,1951,Jan
2.38192,1951,Feb
89.9719,1951,Mar
82.1094,1951,Apr
127.925,1951,May
53.2327,1951,Jun
96.8209,1951,Jul
93.5372,1951,Aug
60.0973,1951,Sep
127.292,1951,Oct
45.6113,1951,Nov
15.6247,1951,Dec
3.82039,1952,Jan
7.53876,1952,Feb
24.2161,1952,Mar
110.074,1952,Apr
57.3038,1952,May
63.8919,1952,Jun
113.61,1952,Jul
131.658,1952,Aug
121.723,1952,Sep
40.5897,1952,Oct
12.7108,1952,Nov
3.66291,1952,Dec
2.58839,1953,Jan
20.2546,1953,Feb
15.8232,1953,Mar
102.917,1953,Apr
76.1437,1953,May
77.6536,1953,Jun
123.348,1953,Jul
154.173,1953,Aug
80.3349,1953,Sep
52.2331,1953,Oct
13.4443,1953,Nov
23.8329,1953,Dec
0.93011,1954,Jan
11.6433,1954,Feb
45.6717,1954,Mar
74.6656,1954,Apr
67.844,1954,May
99.0407,1954,Jun
146.788,1954,Jul
150.974,1954,Aug
146.923,1954,Sep
60.9564,1954,Oct
13.8058,1954,Nov
6.9177,1954,Dec
29.9125,1955,Jan
5.49247,1955,Feb
22.1601,1955,Mar
79.6796,1955,Apr
49.0014,1955,May
70.6625,1955,Jun
141.682,1955,Jul
144.654,1955,Aug
117.681,1955,Sep
31.3711,1955,Oct
25.3989,1955,Nov
17.3977,1955,Dec
13.9839,1956,Jan
3.61898,1956,Feb
33.6366,1956,Mar
92.38,1956,Apr
50.873,1956,May
93.9334,1956,Jun
117.913,1956,Jul
